Name,Reopening Plan,Unnamed: 2
Minot State University,Primarily in person,
Indiana Wesleyan University,Primarily in person,
Hazard Community and Technical College,Primarily online,
Western Wyoming Community College,Primarily in person,
Northland Pioneer College,Primarily online,
Albany Technical College,Fully online,
Faulkner University,Primarily in person,
Northwood University (Mich.),Fully in person,
Brigham Young University-Hawaii,Fully online,
LeTourneau UniversityGregg County? TX,Primarily in person,
Centralia College,Primarily online,
Kaskaskia College,Primarily online,
Louisiana State University at Alexandria,Primarily in person,
Mitchell Community College,Primarily online,
Florida Southern College,Fully online,
American International College,Primarily online,
Our Lady of the Lake University,Primarily in person,
Hope College,Primarily in person,
Rockhurst University,Primarily online,
Southeastern Baptist Theological Seminary,Primarily in person,
Springfield College (Mass.),Primarily in person,
City Colleges of Chicago Kennedy-King College,Primarily online,
University of Hawaii-West Oahu,Primarily online,
Rollins College,Hybrid,
Indiana University at Kokomo,Primarily online,
Clark University,Hybrid,
University of Arkansas at Monticello,Hybrid,
Adams State University,Hybrid,
Highland Community College (Kan.),Primarily in person,
Clovis Community College (N.M),Primarily online,
Copiah-Lincoln Community College,Primarily online,
Lynn University (Fla.),Primarily in person,
University of Hawaii Maui College,Primarily online,
Northeast Texas Community College,Primarily in person,
Holy Family University,Hybrid,
Moody Bible Institute,Primarily online,
Rappahannock Community College,Primarily online,
University of Lynchburg,Fully online,
Three Rivers College (Mo.),Fully in person,
Surry Community College,Primarily online,
Central Maine Community College,Primarily online,
Hult International Business School at Boston,Hybrid,
Vance-Granville Community College,Primarily online,
Gwynedd Mercy University,Primarily online,
Nash Community College,Hybrid,
Vernon College,Primarily in person,
Barstow Community College,Fully online,
Carroll Community College,Primarily online,
St. Olaf College,Primarily in person,
Tiffin University,Primarily in person,
St. Ambrose University,Primarily in person,
D'Youville College,Hybrid,
Madonna University,Primarily in person,
Lander University,Hybrid,
Ohio Northern University,Primarily in person,
New Mexico Highlands University,Primarily online,
Western State Colorado University,Primarily in person,
Franciscan University of Steubenville,Primarily in person,
Tuskegee University,Hybrid,
Wor-Wic Community College,Hybrid,
State University of New York Polytechnic Institute,Primarily online,
South Carolina State University,Hybrid,
University of Cincinnati-Clermont College,Hybrid,
Bob Jones University,Fully in person,
Craven Community College,Primarily online,
Truett McConnell UniversityWhite County? GA,Fully in person,
Cape Cod Community College,Hybrid,
North Iowa Area Community College,Other,
Dominican University,Hybrid,
Culinary Institute of America,Primarily in person,
Nazareth College of Rochester (N.YMonroe County? NY,Hybrid,
State University of New York at Morrisville,Hybrid,
Eastern Oregon University,Primarily in person,
Dyersburg State Community College,Primarily online,
Colgate University,Hybrid,
Mount Saint Mary's University (Calif.),Hybrid,
Chicago State University,Primarily online,
North Central State College,Primarily online,
Lakeshore Technical College,Primarily online,
Wisconsin Indianhead Technical College,Primarily online,
Illinois Valley Community CollegeLaSalle County? IL,Hybrid,
North Dakota State College of Science,Primarily online,
Furman University,Hybrid,
Wheaton College (Ill.)Du,Hybrid,
East Georgia State College,Primarily in person,
Southern Adventist University,Fully in person,
College of the Holy Cross,Fully online,
Cumberland County College,Undetermined,
North Central CollegeDuPage County? IL,Primarily in person,
Monroe County Community College,Primarily online,
Lawrence Technological University,Primarily online,
South Florida State College,Other,
Georgia Southwestern State University,Primarily in person,
Edward Waters College,Primarily online,
Smith College,Fully online,
North Park University,Primarily in person,
Otterbein University,Primarily online,
Mineral Area College,Hybrid,
Northeast Alabama Community College,Primarily online,
Ohio State University at Newark,Hybrid,
Carthage College,Primarily in person,
Bishop State Community College,Fully online,
College of New Rochelle (N.YWestchester County? NY,Hybrid,
Marywood University,Hybrid,
South Piedmont Community College,Primarily online,
Brenau University,Primarily in person,
Danville Community College,Undetermined,
Kankakee Community College,Primarily online,
Milwaukee School of Engineering,Hybrid,
Lower Columbia College,Primarily online,
Oberlin College,Primarily online,
University of Minnesota at Crookston,Hybrid,
Midwestern Baptist Theological Seminary,Hybrid,
Alvernia University,Primarily in person,
Randolph Community College,Hybrid,
McDaniel CollegeCarroll County? MD,Primarily online,
Walsh University,Primarily in person,
Wabash Valley College,Primarily in person,
Embry-Riddle Aeronautical University at Prescott (Ariz.),Fully in person,
Whitworth University,Primarily in person,
Fort Valley State University,Primarily in person,
Oklahoma City University,Primarily in person,
Baker University,Primarily in person,
Panola College,Primarily in person,
New England Institute of Technology,Primarily online,
Regis College,Primarily online,
United Talmudical Seminary,Other,
Hopkinsville Community College,Hybrid,
Life University,Other,
South Central College,Primarily online,
Sul Ross State University,Primarily in person,
Coppin State University,Hybrid,
Mississippi University for Women,Primarily online,
Umpqua Community College,Primarily online,
Lenoir-Rhyne University,Primarily in person,
Morningside College,Primarily in person,
Lenoir Community College,Hybrid,
Mid-State Technical College,Primarily online,
Central Louisiana Technical Community College,Primarily in person,
Mercyhurst University,Hybrid,
University of Puget Sound,Fully online,
Cowley County Community College,Primarily in person,
City Colleges of Chicago Olive-Harvey College,Primarily online,
Lassen Community College,Other,
Pennsylvania Highlands Community College,Primarily online,
South Dakota School of Mines and Technology,Hybrid,
Miami University at Hamilton (Ohio),Primarily online,
Southern University at Shreveport (La.),Other,
Salve Regina University,Primarily in person,
Lafayette College,Fully online,
Trinity University,Hybrid,
Sage Colleges,Hybrid,
University of Hawaii Hawaii Community College,Primarily online,
East Central College,Primarily in person,
Chicago School of Professional Psychology at Los Angeles,Fully online,
University of Charleston,Primarily in person,
Danville Area Community College,Hybrid,
Alexandria Technical and Community College,Primarily in person,
Skidmore College,Hybrid,
North Georgia Technical College,Hybrid,
University of Montevallo,Primarily in person,
Saint Francis University (Pa.),Hybrid,
Middlebury College,Hybrid,
Flager College at St. Augustine (Fla,Hybrid,
University of Wisconsin at Superior,Primarily online,
East Central Community College,Primarily in person,
Wilkes Community College,Primarily online,
University of Pittsburgh at Johnstown,Primarily online,
Neumann University,Primarily online,
Viterbo University,Primarily in person,
Johnson State College,Primarily in person,
Lindsey Wilson College,Primarily in person,
Allegany College of Maryland,Hybrid,
Curry College,Primarily in person,
University of Arkansas at Pine Bluff,Primarily online,
Pennsylvania State University-Berks,Hybrid,
North Greenville University,Primarily in person,
Manchester Community College (N.HHillsborough County? NH,Primarily online,
Daemen College,Primarily online,
King's College (Pa.),Primarily in person,
Concordia University Texas,Hybrid,
Misericordia University,Primarily in person,
Barnard College,Fully online,
Carson-Newman University,Primarily in person,
College of the Albemarle,Primarily online,
Stonehill College,Hybrid,
Richmond Community College,Hybrid,
Cleveland Community College,Fully in person,
Southeastern Community College (Iowa),Primarily in person,
Middlesex Community College (Conn.),Primarily in person,
Stanly Community College,Primarily online,
Augustana College (Ill.),Primarily in person,
University of Dallas,Hybrid,
Ashland Community and Technical College,Primarily online,
Allen County Community College,Primarily online,
Queens University of Charlotte,Fully online,
Wellesley College,Primarily online,
West Liberty University,Primarily online,
Dakota County Technical College,Primarily online,
St. Lawrence University,Hybrid,
New England College,Primarily online,
John Brown University,Fully in person,
Moravian College,Hybrid,
Wytheville Community College,Primarily online,
Mountain Empire Community College,Primarily in person,
Lakeland University,Primarily online,
Columbia College (Calif.),Primarily online,
McKendree UniversitySt. Clair County? IL,Primarily in person,
Manhattanville College,Primarily online,
Rend Lake College,Primarily online,
South Georgia State College,Fully in person,
Lincoln University (Mo.),Primarily in person,
Westminster College (Utah),Primarily in person,
Richland Community College,Primarily online,
Richard Bland College,Hybrid,
Kennebec Valley Community College,Primarily online,
Rhode Island School of Design,Primarily online,
University of Saint Joseph,Hybrid,
University of Hawaii Windward Community College,Primarily online,
Georgian Court University,Primarily online,
Vassar College,Hybrid,
Southern State Community College,Primarily online,
Fulton-Montgomery Community College,Primarily online,
Piedmont College,Primarily in person,
Chadron State College,Hybrid,
Immaculata University,Primarily in person,
University of Evansville,Primarily online,
Limestone College,Primarily in person,
Gettysburg College,Primarily online,
Lamar State College at Port Arthur (Tex.),Fully in person,
Siena Heights University,Primarily in person,
Galveston College,Hybrid,
Delaware Valley University,Primarily in person,
Assumption College,Primarily online,
Eastern New Mexico University at Roswell,Primarily in person,
Concordia University (Neb.),Hybrid,
Ranger College,Hybrid,
St. Francis College (NKings County? NY,Primarily online,
Muskingum University,Fully in person,
Mount St. Mary's University (Md,Hybrid,
Cumberland University,Other,
Lake Tahoe Community College,Primarily online,
University of Mount Union,Hybrid,
West Virginia University at Parkersburg,Primarily online,
Oklahoma State University Institute of Technology at Okmulgee,Primarily in person,
Dickinson College,Fully online,
Herkimer County Community College,Hybrid,
Susquehanna University,Primarily in person,
Eastern Maine Community College,Primarily online,
Marion Technical College,Primarily online,
Denison University,Hybrid,
Cecil College,Primarily online,
Orangeburg-Calhoun Technical College,Primarily online,
Virginia Highlands Community College,Primarily online,
University of Dubuque,Hybrid,
St. Bonaventure University,Primarily in person,
Northwest State Community College,Hybrid,
Lincoln University (Pa.),Primarily online,
Mississippi Delta Community College,Primarily in person,
Tompkins Cortland Community College,Primarily online,
Southwest Virginia Community College,Primarily online,
Nunez Community College,Primarily online,
Notre Dame of Maryland University,Hybrid,
Southwestern Community College (N.CJackson County? NC,Primarily online,
Willamette University,Hybrid,
Los Angeles Pacific University,Fully online,
Southern University at New Orleans,Hybrid,
Mount Saint Mary College (N.YOrange County? NY,Hybrid,
Flathead Valley Community College,Primarily online,
Nyack College,Primarily online,
Lamar State College-Orange,Primarily in person,
Hardin-Simmons University,Hybrid,
Muhlenberg College,Fully online,
La Sierra University,Hybrid,
Chatham University,Primarily in person,
Mount Holyoke College,Fully online,
North Central Michigan College,Primarily in person,
Rivier University,Primarily in person,
University of Pikeville,Primarily in person,
Bellingham Technical College,Fully online,
Kettering University,Primarily in person,
Franklin & Marshall College,Hybrid,
William Woods University,Primarily in person,
Alfred University,Primarily in person,
Sussex County Community College,Primarily in person,
Seton Hill University,Primarily in person,
Mississippi Valley State University,Primarily online,
Cabrini University,Hybrid,
Snead State Community College,Hybrid,
State University of New York College of Agriculture and Technology at Cobleskill,Primarily in person,
Zane State College,Primarily online,
Arkansas State University-Newport,Primarily in person,
Aiken Technical College,Primarily online,
Goucher College,Fully online,
University of Alaska-Southeast,Primarily online,
Patrick Henry Community College,Primarily in person,
Drew University,Fully online,
Everglades University at Boca Raton (Fla.),Hybrid,
Community College of Beaver County,Primarily online,
Thomas More University,Hybrid,
Art Center College of Design,Hybrid,
Point University,Primarily in person,
Technical College of the Lowcountry,Primarily online,
New Mexico Junior College,Primarily in person,
Lake Area Technical Institute,Primarily in person,
Kent State University-Trumbull,Primarily online,
Mount Vernon Nazarene University,Primarily in person,
Gustavus Adolphus College,Primarily online,
Hobart and William Smith Colleges,Hybrid,
Texas Wesleyan University,Hybrid,
Trinity College (Conn.),Primarily in person,
Cambridge College,Fully online,
California Institute of Technology,Fully online,
University of the Sciences in Philadelphia,Primarily online,
St. Norbert College,Primarily online,
Terra State Community College,Primarily in person,
Oklahoma Christian University,Primarily in person,
Washington and Lee University,Primarily in person,
Blackhawk Technical College,Primarily in person,
State University of New York College of Environmental Science and Forestry,Primarily online,
Wagner College,Hybrid,
Indiana Institute of Technology,Primarily online,
Mid-Plains Community College,Primarily online,
Feather River College,Primarily online,
Emmanuel College (Mass.),Other,
Bard College,Primarily in person,
Morehouse College,Fully online,
Northwest Nazarene University,Primarily in person,
University of Saint Francis (Ind.),Primarily in person,
Union College (N.YSchenectady County? NY,Hybrid,
Castleton University,Fully online,
Taylor University,Hybrid,
Edgewood College,Hybrid,
University of New Mexico at GallupMcKinley County? NM,Hybrid,
Caldwell University,Hybrid,
Atlanta Metropolitan State College,Fully in person,
Blue Ridge Community College (N.CHenderson County? NC,Primarily online,
Kent State University-Geauga,Hybrid,
Palmer College of Chiropractic,Primarily online,
Western Texas College,Hybrid,
Franklin Pierce University,Primarily in person,
Labette Community College,Hybrid,
Maryland Institute College of Art,Fully online,
Macalester College,Primarily online,
Claflin University,Primarily online,
Spelman College,Fully online,
Vanguard University of Southern California,Primarily online,
Kent State University-Tuscarawas,Hybrid,
Southeast Technical Institute,Primarily in person,
Benedict College,Hybrid,
Mount St. Joseph University,Primarily online,
L.ETerrebonne Parish? LA,Hybrid,
Southwestern Oregon Community College,Primarily in person,
DePauw UniversityPutnam County? IN,Primarily in person,
Chaminade University of Honolulu,Primarily online,
Williams College,Primarily in person,
Cardinal Stritch University,Primarily in person,
Medaille College,Primarily in person,
Colorado College,Fully online,
Murray State College,Hybrid,
Rose-Hulman Institute of Technology,Hybrid,
Herzing University at Madison (Wis.),Undetermined,
Augustana University (S.DMinnehaha County? SD,Primarily in person,
Cornerstone University,Hybrid,
Southwestern Michigan College,Primarily in person,
Concordia College at Moorhead,Primarily in person,
Benedictine College,Primarily in person,
Lancaster Bible College,Primarily in person,
Langston University,Primarily online,
University of South Carolina at Beaufort,Hybrid,
Peru State College,Primarily in person,
City University of Seattle,Hybrid,
Saint Joseph's College of Maine,Primarily online,
Southwestern Assemblies of God University,Primarily in person,
Central State University,Primarily in person,
Evangel University,Primarily online,
Carleton College,Hybrid,
Texas A&M University at Texarkana,Primarily in person,
Nebraska Wesleyan University,Primarily in person,
Millikin University,Hybrid,
Methodist University,Fully in person,
Connors State College,Hybrid,
Massachusetts College of Art and Design,Hybrid,
South Georgia Technical College,Primarily online,
Chipola College,Primarily in person,
Southern Nazarene University,Primarily in person,
Chesapeake College,Primarily online,
Carlow University,Primarily online,
Lake Region State College,Primarily in person,
University of South Florida-Sarasota/Manatee,Hybrid,
University of Virginia's College at Wise,Primarily online,
Marymount Manhattan College,Primarily online,
Lasell College,Hybrid,
Master's University and Seminary,Primarily in person,
Peninsula College,Undetermined,
Iowa Lakes Community College,Hybrid,
Big Bend Community College,Primarily online,
University of New Mexico-Valencia,Hybrid,
University of Maine at Farmington,Hybrid,
Concord University (W.Va,Primarily in person,
Freed-Hardeman University,Fully in person,
Rhodes College,Fully online,
Christian Brothers University,Primarily in person,
North Carolina Wesleyan College,Primarily in person,
Grace College and Seminary,Fully in person,
Kent State University at Ashtabula,Primarily online,
Granite State College,Fully online,
Southwest Mississippi Community College,Undetermined,
Saint Anselm College,Primarily in person,
Pine Technical College,Primarily online,
National Park College,Fully online,
Roanoke College,Hybrid,
Berry College,Primarily in person,
Ogeechee Technical College,Other,
Edgecombe Community College,Primarily online,
Oklahoma Baptist University,Fully in person,
Southwest Wisconsin Technical College,Primarily in person,
Roxbury Community College,Primarily online,
Eckerd College,Primarily in person,
Hood College,Hybrid,
Hamilton College (N.YOneida County? NY,Hybrid,
Luther College,Hybrid,
College of Wooster (Ohio),Primarily online,
Felician University,Hybrid,
St. Thomas Aquinas College,Primarily in person,
Colby College,Primarily in person,
Bowling Green State University Firelands College,Hybrid,
Latter-Day Saints Business College,Primarily in person,
Graceland University (Iowa),Primarily in person,
Northwestern Oklahoma State University,Primarily online,
Lake Superior State University,Primarily in person,
Fond du Lac Tribal and Community College,Primarily in person,
North Country Community College,Primarily online,
University of Connecticut-Stamford,Primarily in person,
Central Wyoming College,Primarily online,
Neosho County Community College,Primarily in person,
Dominican College of Blauvelt,Hybrid,
Gordon College (Mass.),Hybrid,
Saint Michael's College,Primarily in person,
King University (Tenn.),Primarily in person,
Isothermal Community College,Hybrid,
Asbury University,Primarily online,
U.TOrange County? NY,Other,
Mid-America Christian University,Primarily in person,
Bay De Noc Community College,Hybrid,
Robert Morris University Illinois,Primarily online,
Albright College,Hybrid,
Frontier Community College,Primarily in person,
Marshalltown Community College,Hybrid,
Occidental College,Fully online,
Redlands Community College,Primarily in person,
Friends University,Primarily in person,
Keuka College,Primarily in person,
John Wood Community College,Primarily in person,
Lebanon Valley College,Primarily in person,
Garden City Community College,Primarily in person,
University of the Arts,Fully online,
Meredith College,Primarily in person,
University of Arkansas Community College at Morrilton,Primarily online,
Mary Baldwin University,Primarily in person,
Carl Albert State College,Undetermined,
Coffeyville Community College,Fully in person,
Northeastern Oklahoma A&M College,Hybrid,
Coahoma Community College,Undetermined,
New Mexico Institute of Mining and Technology,Primarily online,
Great Bay Community College,Primarily online,
Grand View University,Primarily in person,
University of Mobile,Primarily in person,
MidAmerica Nazarene UniversityJohnson County? KS,Fully in person,
Midland University,Primarily in person,
Mountwest Community and Technical College,Hybrid,
Lackawanna College,Primarily online,
Seward County Community College/Area Technical School,Primarily in person,
Missouri State University at West Plains,Primarily online,
Fort Scott Community College,Primarily in person,
Grays Harbor College,Primarily in person,
Saint Vincent College,Hybrid,
Missouri Valley College,Primarily in person,
Treasure Valley Community College,Primarily in person,
College of Mount Saint Vincent,Primarily in person,
Carl Sandburg College,Hybrid,
Asnuntuck Community College,Primarily in person,
Bridgewater College,Primarily in person,
Adrian College,Primarily in person,
Trenholm State Technical College,Primarily online,
Amherst College,Primarily online,
North Central Missouri College,Primarily online,
Walla Walla University,Hybrid,
Whittier College,Primarily online,
Alverno College,Other,
Minnesota State College Southeast,Primarily online,
Buena Vista University,Fully in person,
Connecticut College,Other,
Montana Technological University,Fully in person,
Anoka Technical College,Primarily online,
Clarendon College,Primarily online,
Davidson College,Hybrid,
Cloud County Community College,Primarily in person,
Becker College at Worcester (Mass.),Fully online,
Mount Mercy University,Primarily in person,
Bates College,Primarily in person,
Miami University at Middletown (Ohio),Primarily in person,
Pierpont Community and Technical College,Primarily in person,
Bowdoin College,Primarily online,
Western Nebraska Community College,Fully in person,
Greenfield Community College,Primarily online,
Marian University (Wis.),Primarily in person,
Southeastern Technical College,Fully online,
North Arkansas College,Primarily online,
California College of the Arts,Fully online,
Lubbock Christian University,Primarily in person,
Centenary University,Other,
Massachusetts Maritime Academy,Primarily in person,
Wittenberg University,Hybrid,
Pennsylvania College of Health Sciences,Primarily in person,
Washington State Community College (Ohio),Primarily in person,
Chestnut Hill College,Fully online,
University of Maine at Fort Kent,Primarily online,
New Mexico State University at Carlsbad,Primarily online,
Sewanee: The University of the South,Hybrid,
Mount Aloysius College,Primarily in person,
Lurleen B. Wallace Community College,Primarily online,
College of Saint Benedict,Hybrid,
Trinity Washington University,Primarily online,
Dominican University of California,Primarily online,
Western Piedmont Community College,Hybrid,
Kentucky State University,Primarily online,
Saint John's University (Minn.),Hybrid,
Trinity International University,Primarily in person,
Allegheny College,Fully in person,
Thomas College (Me.),Primarily in person,
Wheaton College (Mass.),Hybrid,
Aquinas College (Mich.),Primarily online,
Spalding University,Hybrid,
West Virginia University Institute of Technology,Primarily in person,
Copper Mountain College,Primarily online,
Northwest Iowa Community College,Primarily in person,
Roberts Wesleyan College,Primarily online,
Concordia College (N.YWestchester County? NY,Primarily online,
Tusculum University,Primarily in person,
State University of New York Maritime College,Primarily in person,
Drury University,Fully in person,
Kenyon College,Primarily online,
Anderson University (Ind.),Primarily in person,
Ohio Dominican University,Primarily in person,
Grinnell College,Fully online,
Harris-Stowe State University,Primarily in person,
Sarah Lawrence College,Primarily online,
Enterprise State Community College,Primarily online,
AdventHealth UniversityOrange County? FL,Primarily online,
University of Rio Grande,Primarily in person,
Notre Dame College (Ohio),Hybrid,
Ranken Technical College,Fully in person,
Kent State University at Salem,Primarily online,
Berkshire Community College,Primarily online,
William Jessup University,Hybrid,
Illinois Wesleyan UniversityMcLean County? IL,Primarily online,
Wilson Community College,Primarily online,
Bryn Mawr College,Primarily in person,
BridgeValley Community & Technical CollegeKanawha County? WV,Primarily online,
Elizabethtown College,Primarily in person,
Bloomfield College,Primarily online,
Virginia Military Institute,Primarily in person,
Rockingham Community College,Primarily online,
University of Akron-Wayne College,Primarily online,
Central Alabama Community College,Primarily online,
Johnson & Wales University at Charlotte (N.CMecklenburg County? NC,Primarily online,
Blue Mountain Community College,Primarily online,
College of the Siskiyous,Hybrid,
Elizabeth City State University,Hybrid,
American Musical and Dramatic Academy,Primarily online,
Waynesburg University,Primarily in person,
Berea College,Primarily online,
Touro University Worldwide,Fully online,
Robeson Community College,Hybrid,
Midway University,Primarily in person,
Malone University,Hybrid,
Montcalm Community College,Primarily in person,
Wofford College,Primarily in person,
Fisher College,Primarily in person,
Ouachita Baptist University,Primarily online,
Toccoa Falls College,Primarily in person,
Pittsburgh Technical Institute,Primarily online,
Southeastern Illinois College,Primarily online,
Avila University,Hybrid,
Charter Oak State College,Fully online,
Vermont Technical College,Hybrid,
Oakwood University,Primarily in person,
New Mexico State University at Alamogordo,Primarily online,
York County Community College,Primarily online,
Mansfield University of Pennsylvania,Primarily in person,
Sauk Valley Community College,Primarily online,
Haywood Community College,Hybrid,
Nashua Community College,Primarily online,
University of Sioux Falls,Fully in person,
East Texas Baptist University,Hybrid,
Saint Mary's College (Ind.),Primarily in person,
Doane University at Lincoln,Hybrid,
Georgetown College,Primarily in person,
Saint Martin's University,Hybrid,
Seminole State College,Primarily in person,
Navajo Technical UniversityMcKinley County? NM,Primarily online,
Highland Community College (Ill.),Other,
Cedar Crest College,Primarily online,
Nichols College,Primarily in person,
Maharishi University of Management,Primarily online,
Ohio University at Chillicothe,Hybrid,
Henderson Community College,Hybrid,
Glenville State College,Primarily in person,
Columbia-Greene Community College,Primarily online,
Black River Technical College,Primarily in person,
St. Mary's College of Maryland,Primarily in person,
Logan University,Primarily in person,
Guilford College,Primarily in person,
Pomona College,Fully online,
Ohio University Lancaster Campus,Hybrid,
Chattahoochee Valley Community College,Other,
Reinhardt University,Hybrid,
College of the Ozarks,Primarily in person,
Johnson C. Smith University,Fully online,
Dordt College,Fully in person,
Ringling College of Art and Design,Primarily online,
Ohio Wesleyan University,Primarily in person,
Swarthmore College,Primarily online,
University of Arkansas Community College-Hope-Texarkana,Primarily online,
Gallaudet University,Fully online,
Belmont Abbey College,Primarily in person,
University of Maine at Presque Isle,Hybrid,
University of Minnesota at Morris,Hybrid,
Virginia Union University,Undetermined,
Southern Wesleyan University,Fully online,
Miles College,Primarily in person,
Dodge City Community College,Fully in person,
Southwestern Community College (Iowa),Primarily online,
Valley City State University,Hybrid,
Beaufort County Community College,Primarily in person,
Geneva College,Primarily in person,
Trinidad State Junior College,Hybrid,
Drury University-College of Continuing Professional Studies,Primarily in person,
Vaughn College of Aeronautics and Technology,Hybrid,
West Virginia Northern Community College,Primarily online,
Eastern Oklahoma State College,Hybrid,
Sullivan County Community College,Primarily online,
Albion College,Fully in person,
Elms College,Primarily online,
Manchester University,Primarily in person,
University of South Carolina at Lancaster,Primarily in person,
University of Montana Helena College of Technology,Primarily online,
Phillips Community College of the University of Arkansas,Hybrid,
Dine College,Primarily online,
Cossatot Community College of the University of Arkansas,Primarily in person,
Montana State University College of Technology at Great Falls,Primarily online,
Southwestern College (Kan.),Hybrid,
Klamath Community College,Undetermined,
Bethel College (Ind.),Primarily in person,
Lake Forest College,Fully online,
Mercy College of Ohio,Primarily online,
Crown College (Minn.),Hybrid,
University of Pittsburgh at Greensburg,Hybrid,
University of Montana Western,Primarily in person,
Johnson & Wales University-Online,Fully online,
California Institute of the Arts,Primarily online,
Reed College,Hybrid,
Wilson College (Pa.),Fully online,
Wartburg College,Primarily in person,
Kaplan University at Indianapoli,Fully online,
Goldey-Beacom College,Fully online,
Northeastern Junior College,Hybrid,
Notre Dame de Namur University,Fully online,
Kirtland Community College,Primarily online,
Loras College,Hybrid,
Northwest College (Wyo.),Hybrid,
Randolph-Macon College,Primarily online,
University of Hawaii Kauai Community College,Hybrid,
College for Creative Studies,Primarily online,
Frank Phillips College,Undetermined,
Brunswick Community College,Primarily online,
George Corley Wallace State Community College at Selma (Ala.),Other,
Whitman College,Primarily online,
South Arkansas Community College,Undetermined,
State Technical College of Missouri,Primarily in person,
Kalamazoo College,Fully online,
Lawrence University,Hybrid,
Eastern Wyoming College,Undetermined,
Anna Maria College,Primarily in person,
Southern West Virginia Community and Technical College,Primarily in person,
Albertus Magnus College,Primarily in person,
Massachusetts College of Liberal Arts,Hybrid,
Shorter University,Other,
Southeastern Community College (N.CColumbus County? NC,Primarily online,
Simpson College (Iowa),Primarily in person,
Lourdes University,Primarily in person,
